OBJECTID,ROP2,PeopleCluster,Description,Citation,Source,EditorComments,ROP1,AddDate,EditDate,Status
169,C0054,Bouyei,"Bouyei is one of 56 ethnic groups officially recognized by the government of the People's Republic of China. Most Bouyei live in China's Guizhou province but some also reside in Yunnan and Sichuan provinces and across the border in Vietnam. In spite of the governmental recognition given to the Bouyei, most Bouyei consider themselves to be Zhuang. Aside from the main Bouyei people group, several smaller related groups are assigned to this cluster.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-08-14T00:00:00+00:00,1
170,C0055,Brahui,The Brahui are an ethnic group of some 2.5 million with the majority living in Pakistan and smaller numbers in neighboring Afghanistan and Iran. They are almost all Sunni Muslims. 'Brahui' is a very old Dravidian term and Brahui origins are disputed. They are thought to be Dravidian peoples who migrated to the Baluchistan region of Pakistan and intermingled with peoples of Iranian origin.,None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
171,C0058,Burmese,Burmese is the official language of the Burmese people of Myanmar and the native language of numerous sub-ethnic groups of the Burmese. This people cluster also includes a few related peoples who speak languages from the Southern Burmish family.,None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2012-08-14T00:00:00+00:00,1
172,C0062,Chadic,"The Chadic language family encompasses nearly 200 languages spoken across northern Nigeria, southern Niger, Southern Chad, Central African Republic, and northern Cameroon. Hausa, the most widely-spoken Chadic language is a separate people cluster. A majority of the people groups classified within the Chadic people cluster are less than 25,000 in population.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
173,C0063,Kanuri-Saharan,"The Kanuri people are an African ethnic group centered in the area of the former Bornu Empire, an African state of Nigeria from 1380 to 1893. Today this area spans northeastern Nigeria, southeast Niger, western Chad and northern Cameroon. Kanuri and related languages are classified as Saharan. The Kanuri-Saharan people cluster encompasses a number of ethnic and linguistic groups with historic ties to the Bornu Empire.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-08-22T00:00:00+00:00,1
174,C0064,Cham,"The Cham people are an ethnic group in Southeast Asia, distributed mainly in central Cambodia and Vietnam.  Their roots trace to the Kingdom of Champa that controlled what is now southern and central Vietnam from the 7th century until the 19th century. A majority of the Cham in Cambodia are Muslims while in Vietnam they follow Hinduism, Buddhism, or a mix of ethnic religions.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-08-16T00:00:00+00:00,1
175,C0069,Fiji,"Fiji is an island nation in Melanesia in the South Pacific. The majority of Fiji's 332 islands were formed through volcanic activity. Native Fijians trace their ancestry to Melanesian and Polynesian ancestors who first inhabited the islands some 3,500 years ago. While sharing a common ancestry, the geographic spread of the islands contributes to diversity in language and culture among the various people groups that comprise the Fiji people cluster. A majority of indigenous Fijians are Christians.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-08-16T00:00:00+00:00,1
176,C0073,Finno-Ugric,"Finno-Ugric is a traditional group of languages spoken in parts of Eastern and Northern Europe. Finnish is the largest ethnolinguistic group, followed by Estonian, then by a series lesser known people groups scattered across western Russia. Roman Catholicism and Orthodox Christianity compete with traditional religions and a growing secularism for the loyalties of these people groups.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-16T00:00:00+00:00,1
177,C0074,"Finno-Ugric, Saami","Saami (Sami) is a linguistic variety within the Finno-Ugric family of languages. The Saami are an indigenous people inhabiting the Arctic regions of northern Sweden, Norway, Finland and the Kola Peninsula of Russia. Though they pursue a variety of vocations that include fishing, fur trapping and sheep herding, the Saami are best known for herding reindeer.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-16T00:00:00+00:00,1
178,C0076,French,"The French people cluster encompasses people groups that share a common French culture and heritage, speaking either French or a related Gallo-Romance language such as Occitan or Corsican.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
179,C0078,Garo-Tripuri,"Bodo and Garo are the two largest people groups within the Garo-Tripuri people cluster that also encompasses the Tripuri (Kok Borok) and Chakma. These groups are scattered across eastern India and across the border into Bangladesh.  While Hinduism, Buddhism and ethnic religions are widely practiced, there are sizeable Christian communities among most of these people groups.",None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2021-06-30T00:00:00+00:00,1
180,C0079,Germanic,"The Germanic people cluster encompasses people groups that share a common German heritage and speak either standard German or one of more than 40 living Germanic languages among which Dutch, Bavarian, Vlaams, Mainfrankisch, Afrikaans, Hunsrik, and Swiss German count the most speakers.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
181,C0082,Greek,"The Greeks are an ethnic group native to Greece, Cyprus and other parts of the Mediterranean. Greek civilization has long been centered around the Aegean Sea where the Greek language has the longest documented history of any Indo-European language. Most Greeks are affiliated with the Greek Orthodox Church.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
182,C0083,Guarani,"The Guarani are a group of culturally related indigenous peoples of South America, distinguished from the related Tupi by their use of the Guarani language.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,,1
183,C0084,Guera-Naba of Chad,"Guera is an administrative division of southern Chad that is home to the Kenga, Morom, and Fanya people groups. Naba is the common language and ethnonym of the Bilala, Kuka and Medogo people groups. These people groups, all of whom follow Sunni Islam, form the Guera-Naba people cluster.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
184,C0086,Gujarati,"Gujarat is a state is western India and Gujarati is a generic term for the migrants from Gujarat who went to different parts of the country for employment, business and trade. It is also the name of the Indo-Aryan language they speak. There are an estimated 46 million speakers of Gujarati, the majority still residing in Gujarat, Maharashtra, and Rajasthan.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
185,C0087,Gur,"The Gur people cluster encompasses almost one hundred related languages spoken in West Africa. These people groups are concentrated in Burkina Faso, the southwestern portion of Mali, and northern parts of Ivory Coast, Ghana, Togo, and Benin. While Sunni Islam is the primary religion of the largest Gur people groups, the Mossi and Senufo, a majority of these Gur people groups practice traditional ethnic religions.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
186,C0090,Hausa,"Hausa is the most widely spoken Chadic language and is the first language spoken by more than 25 million Hausa people, primarily in Nigeria. The Hausa people cluster includes a few small, closely related peoples in northern Nigeria and southwestern Niger. A majority of Hausa peoples practice traditional animistic religions.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
187,C0091,Hindi,"Hindi is an official language of India, spoken by an estimated 180,000,000 people. Colloquial Hindi is mutually intelligible with Urdu, yet due to religious nationalism and communal tensions, speakers of both Hindi and Urdu frequently assert that they are distinct languages. Speakers of Hindi typically practice Hinduism . The Hindi people cluster encompasses  numerous castes, tribes and religious communities mainly within India.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
188,C0093,Hispanic,"Hispanic is a name given to ethnic groups from Latin America. Hispanic groups are typically identified by country of nationality, but they share a common culture and language rooted in their historical link to Spain. The Hispanic people cluster encompasses Hispanics of white and mestizo ethnicity. Hispanic Afro-Americans are identified as a separate people cluster. Roman Catholicism is the dominant religion among Hispanics.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
189,C0094,Hungarian,"Hungarians are a nation and ethnic group who speak the Hungarian language. Though small communities of Hungarians are scattered throughout Eastern Europe, the overwhelming majority reside in Hungary. Hungarians refer to themselves as Magyars; only outsiders use the term Hungarian. The Hungarian people cluster is one of only a handful of clusters that encompasses a single ethnolinguistic people group.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
190,C0097,Inuit,"The Inuit, also known as Inuktitut, are a group of culturally similar indigenous peoples inhabiting the Arctic regions of Greenland, Canada, the United States and Russia. Inuit languages are classified under the Eskimo-Aleut family. The term 'Eskimo' is commonly used in the United States, however native communities in Canada and Greenland view 'Eskimo' as derogatory and prefer 'Inuit'. The Inuit people cluster encompasses several ethnic and linguistic varieties of Inuit.",None,Patrick Johnstone,None,A009,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
191,C0098,Italian,"The Italian people cluster encompasses several people groups that share a common Italian culture and heritage, speaking either  Italian or a related Romance language such as Sicilian  or Sardinian.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-08-20T00:00:00+00:00,1
192,C0100,Jat,"The Jat are a dominant peasant community of north-west India and Pakistan. Originally most of the Jats were Hindu, though some converted to Islam and Sikhism. Today, the Jat of Pakistan are mainly Muslim. The Jat of India are mostly divided among two large castes: one Sikh, concentrated in Punjab, the other Hindu.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2022-01-19T00:00:00+00:00,1
193,C0106,Karen,"The Karen people cluster encompasses a number of related ethnic peoples in southern and southeastern Myanmar who speak a variety of Sino-Tibetan languages. A large number of Karen also reside across the border in Thailand. A large number of Karen people are refugees due to the Karen National Union (KNU) that has waged war with the Myanmar government since 1949 in hopes of attaining an independent Karen state. Christianity, Buddhism, and ethnic religions are all practiced among these people groups.",None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2012-08-22T00:00:00+00:00,1
194,C0107,Kashmiri,"The Kashmiri are an Indo-Aryan ethnolinguistic group originating from the Kashmir Valley, which is located in the Indian-administered region of Jammu and Kashmir, a presently disputed territory, with portions controlled by the governments of India, Pakistan, and the People's Republic of China. The vast majority of Kashmiri peoples reside in India's state of Jammu and Kashmir. Since the 14th century, Sunni Islam has dominated the Kashmir region, though isolated pockets of Hindus and Buddhists may still be found.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2025-04-08T00:00:00+00:00,1
195,C0109,Khoisan,"Khoisan is a unifying name for two ethnic groups of Southern Africa who share physical and linguistic characteristics distinct from the Bantu majority of the region. Culturally, the Khoisan are divided into the foraging San and the pastoral Khoi. The San are thought to be the original inhabitants while the Khoi arrived in Southern Africa only shortly before the Bantu. The Khoisan languages are characterized by the use of click consonants make them distinctive from most other languages. The generic term, bushman, is used to describe many of these peoples who are predominantly found in arid areas of the region, notably in the Kalahari Desert.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
196,C0116,Lao,The Lao people are an ethnic subgroup of the Tai peoples of Southeast Asia and the Lao language is closely related to Thai and other languages spoken by the Tai peoples.  Sixty percent of the people of Laos are ethnic Lao. They are the principal lowland inhabitants and the culturally dominant group. The Lao people cluster includes only those people groups whose first language is Lao.,None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-08-29T00:00:00+00:00,1
197,C0117,Li,"The Li people are a minority ethnic group of China, primarily located on Hainan Island. They refer to themselves as the Hlai people. The Li are believed to be descendants of the ancient Yue (commonly known as Cantonese) tribes of China. While the Li people groups speak one or more dialects of their native Hlai language, many also speak Mandarin Chinese.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-09-05T00:00:00+00:00,1
198,C0118,Lisu,"The Lisu people are a Tibeto-Burman ethnic group living today in China's Yunnan Province as well as in mountainous regions of Myanmar, remote country areas of Thailand, and parts of the Indian state of Arunachal Pradesh. Lisu and Lipo are the two languages spoken by ethnic Lisu. Christianity was introduced to the Lisu in Yunnan Province in 1910 by James Fraser of the China Inland Mission. Today there is a vibrant Lisu church within China and the Lisu are active in evangelizing neighboring people groups.",None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2012-09-05T00:00:00+00:00,1
199,C0124,Malayali,"The Malayali are a Dravidian ethnolinguistic group originating from the state of Kerala and the Union Territory of Lakshadweep. They predominantly speak Malayalam, the state language of Kerala. The Malayali people cluster encompasses a number of diverse people groups whose primary relationship is linguistic, although it includes some groups who maintain Malayali cultural traditions though not speaking the Malayalam language.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2025-04-08T00:00:00+00:00,1
200,C0129,Maltese,"The Maltese are an ethnic group indigenous to the southern European island nation of Malta, located in the Mediterranean Sea. Maltese is the primary language spoken and Roman Catholicism is the state religion.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-06T00:00:00+00:00,1
201,C0135,Marathi-Konkani,"The Marathi-Konkani people cluster encompasses a variety of castes and communities indigenous to the western coastal region of India, particularly in Maharashtra and the Konkan region. Most of these communities speak Marathi, the official language of Maharashtra and Goa and the 14th most spoken language in the world, or a variety of Konkani, a smaller family of languages spoken within the same region. Most of the people groups assigned to the Marathi-Konkani people cluster are castes (occupational subgroups) of Hindu peoples.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2025-04-09T00:00:00+00:00,1
202,C0136,Maya,"The ancient Maya civilization was once the most advanced civilization in the Americas, stretching across what today is southern Mexico, Guatemala, Belize, El Salvador and Honduras. Mayan population dramatically declined during the sixteenth century prior to the Spanish conquest and suffered further losses during that colonization era, but the Maya peoples never disappeared. Today, the Maya and their descendants have a sizable presence across Guatemala and in the Chiapas state of Mexico.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
203,C0138,Miao / Hmong,"Miao and Hmong are two terms used to refer to an indigenous people of southwestern China. The Miao live mainly in the provinces of Guizhou, Hunan, Yunnan, Sichuan, Guangxi and Hubei. Miao is a Chinese term that is widely used but does not reflect the self-designation of all the peoples within this cluster, many of whom prefer Hmong or Hmu. Some sub-groups, most notably the Hmong, have migrated out of China into southeast Asia and are today found in Thailand, Laos, Vietnam and Myanmar. Following the Communist takeover of Laos in 1975, a large number of Hmong refugees resettled in the United States, France and Australia. Most of the people groups represented by the Miao / Hmong people cluster practice various ethnic religions.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
204,C0139,Micronesian,"Micronesia is a subregion of Oceania, comprising thousands of small islands in the western Pacific Ocean. It is distinct from Melanesia to the south, Polynesia to the east, the Philippines to the west, and Indonesia to the southwest. The name Micronesia is a compound of two Greek words that literally mean small islands. The Micronesian people cluster encompasses numerous small people groups, most of which are native to small, isolated islands and speak unique though linguistically related languages. The one commonality shared by most of these peoples is at least a nominal Christian faith, tracing to extensive Roman Catholic missionary activity in the 17th and 18th centuries followed by Protestant missionary activity throughout the 19th century.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
205,C0142,Miri-Kachin,"Miri and Kachin are two groups of related Tibeto-Burman peoples. The Miri are a people of northern India inhabiting portions of Assam, and Arunachal Pradesh states. Kachin is the northernmost state of Myanmar, sharing a border with Arunachal Pradesh. Though ethnically and linguistically related, the Miri-Kachin people cluster is a religiously diverse group with Buddhism, Christianity, Hinduism, and ethnic religions all in practice among the various people groups.",None,Patrick Johnstone,None,A014,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
206,C0143,Mixe,"The Mixe are an indigenous group inhabiting the eastern highlands of the Mexican state of Oaxaca. They speak a variety of languages classified as Mixe-Zoque and are more culturally conservative than other indigenous groups in the region, maintaining use of their original languages to this day. Mixe religion is largely a blend of Roman Catholicism with traditional religious practices.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
207,C0147,Mon-Khmer,"Mon-Khmer is a major language family of southeast Asia. The language family derives its name from the two largest languages, Central Khmer, a language of Cambodia and Mon, a language of Myanmar, but 145 other languages are also classified within the Mon-Khmer language family. The Mon-Khmer people cluster encompasses this diverse mix of people groups, among whom Buddhism, Christianity, Islam and ethnic religions are all widely practiced.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
208,C0148,Munda-Santal," The Santal are the largest tribal community in India. The Munda are fewer in number but still a major tribal community of India. Both groups are found throughout the Chota Nagpur Plateau region of India that spans the states of Jharkhand, West Bengal, Bihar, Orissa, and Assam. Their languages--Mundari and Santali--represent both individual languages and families of related languages. The Munda-Santal people cluster encompasses these tribal peoples that speak Mundari and Santali languages.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
209,C0150,Nepali-Pahari,"The Pahari languages are a geographic group of Indic languages spoken in the lower ranges of the Himalayas, from Nepal in the east to the Indian states of Uttarakhand, Himachal Pradesh, and Jammu and Kashmir in the west. Nepali is the most widely spoken Pahari language. The Nepali-Pahari people cluster encompasses the large Nepalese people groups along with numerous Pahari-speaking peoples, a majority of whom practice Hinduism.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
210,C0151,New Caledonia,"New Caledonia is an overseas territory of France located in the southwest Pacific Ocean, 750 miles east of Australia. The territory includes the main island of Grande Terre and several smaller islands encompassing 7,172 square miles (slightly smaller than the state of New Jersey). The New Caledonia people cluster includes a number of Melanesian peoples, indigenous to New Caledonia. The Roman Catholic Church claims a majority of many of these people groups as adherents, but several Protestant churches are also working among them.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
211,C0152,New Guinea,"New Guinea is the world's second largest island, home to some 7.5 million people. Politically, the western half of the island is under the jurisdiction of Indonesia while the eastern half forms the country of Papua New Guinea. The island is populated by a thousand different tribal groups that speak nearly as many distinct languages, making New Guinea the most linguistically diverse area in the world and making the New Guinea people cluster the largest in terms of number of people groups.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-09-10T00:00:00+00:00,1
212,C0159,Nuristani,"The Nuristani peoples form a distinct ethnic and linguistic cluster in northeastern Afghanistan and parts of northwestern Pakisan. Historically, the Nuristanis practiced a form of ancient Hinduism before converting to Islam in the late 19th century.Their pre-Islamic religious practices included elements of animism and ancestor worship. Today they are predominantly Sunni Muslims. The Nuristani do not have a formal tribal structure. Instead, they identify themselves based on the names of local regions they inhabit.",None,Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2025-04-08T00:00:00+00:00,1
213,C0174,Otomi,"Ethnologue classifies two Mazahua languages and nine Otomi languages as Otomian, tracing their origins to the Otomi civilization, one of several early advanced civilizations of Mesoamerica. The Otomi likely inhabited the  central Mexican plains before the Aztecs arrived in the 7th century. Today they inhabit both the mountains and the valleys of the state of Hidalgo. Otomi religion is a mixture of Roman Catholicism with traditional practices.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
214,C0178,Pashtun,"The Pashtun are the largest ethnic group in Afghanistan and a major ethnic group within Pakistan. Pashtun identity is characterized by the usage of one or more of the eastern Iranian Pashto languages as well as adherence to the practice of Pashtunwali, a unwritten ethical code that guides individual and community behavior.",None,Patrick Johnstone,None,A005,2003-10-30T00:00:00+00:00,2023-04-10T00:00:00+00:00,1
215,C0183,Punjabi,"Punjab is a geographical region straddling the border between Pakistan and India, including the Punjab province of Pakistan and the Indian states of Punjab, Haryana, Himachal Pradesh, Chandigarh and some northern parts of the capital of Delhi. The Punjabi people are an Indo-Aryan ethnic group originating from the Punjab region. Traditional Punjab identity was primarily linguistic. Regardless of religious affiliation or ethnic background, those speaking a Punjab language were regarded as Punjabi. Today, people of Punjabi origins are considered to be Punjabi even if they no longer speak a Punjabi language. The Punjabi people cluster encompasses a wide range of ethnic and religious groups. Islam, Hinduism and Sikhism are all practiced by Punjabi people groups.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-29T00:00:00+00:00,1
216,C0184,Pygmy,"Pygmy is a term used to describe ethnic groups whose average height is unusually short. Anthropologists define pygmy as any group whose adult men are less than 59 inches in average height. The term 'pygmy' is sometimes considered derogatory and most peoples classified within the Pygmy people cluster prefer to be referred to by their ethnic name. Most of these people groups are under 50,000 in population. Christianity and ethnic religions are widely practiced among these people groups.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
217,C0187,Romanian,"The Romanians are an ethnic group native to Romania. The Romanian people are a nation defined by a strong sense of sharing a common Romanian culture, descent and language. The Romanian people cluster includes Moldavians along with Istro Romanians of Croatia and Megleno Romanians of Greece.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
218,C0189,Sara-Bagirmi,"The Sara are an ethnic group in Central Africa, predominantly residing in Chad. They are descendants of the Sao people, the largest group in Chad. The Bagirmi are an ethnic group living on the southern fringe of the Sahara in Chad and Nigeria. Together, these two ethnic groups and related subgroups form the Sara-Bagirmi family of Central Sudanic languages. The Ethnologue classifies 19 languages as Sara and 8 languages as Bagirmi. Sara and related peoples are likely to follow Christianity; Bagirmi and related peoples tend to follow Islam.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-27T00:00:00+00:00,1
219,C0190,Scandinavian,"The Scandinavian language family includes Danish, Faroese, Icelandic, Norwegian and Swedish. These related Germanic languages are spoken by more than 18 million people, represented within the Scandinavian people cluster.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
220,C0191,Shan,"The Shan are a Tai ethnic group of Southeast Asia, mainly inhabiting the Shan and Kachin states of Myanmar and adjacent regions of China and Thailand. Several subgroups of Shan are included in the Shan people cluster. Theravada Buddhism is practiced by most of the Shan people groups.",None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
221,C0192,Sindhi,"The Sindhi people are an ethnic group native to the former Sindh province of India, which today is one of the four provinces of Pakistan. Most Sindhi peoples were originally Hindus or Buddhists, but the arrival of Muslim Arabs in the 7th century deeply influenced Sindhi religion and culture. Following the partition of India in 1947, most Hindu Sindhi migrated to India, leaving Sunni Muslim Sindhi to dominate the Sindh province of Pakistan.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2022-03-28T00:00:00+00:00,1
222,C0193,Sinhala,"Sinhala is the mother tongue of the Sinhalese people, the largest ethnic group in Sri Lanka. In addition to the Sinhala, this people cluster includes the Veddah, an indigenous people of Sri Lanka, and the Burgher, an ethnic group of mixed European and Sri Lankan heritage. Some sources also include the Rodiya, an untouchable social group or caste of the Sinhalese.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2025-04-14T00:00:00+00:00,1
223,C0194,"Slav, Eastern","The Eastern Slavs are a family of Indo-European ethnic peoples who speak one of the East Slav languages: Belarusan, Russian, Rusyn, and Ukrainian. Orthodox Christianity is the primary religion among these people groups.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
224,C0195,"Slav, Southern","The Southern Slavs are a family of Indo-European ethnic peoples who speak one of the South Slav languages: Bosnian, Bulgarian, Croatian, Macedonian, Serbian, and Slovene. Orthodox Christianity is the primary religion among most of these people groups, but some follow Sunni Islam.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
225,C0196,"Slav, Western","The Western Slavs are a family of Indo-European ethnic peoples who speak one of the West Slav languages: Czech, Kashubian, Polish, Silesian, Slovak, and Upper and Lower Sorbian. Roman Catholicism is practiced among most of these people groups.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
226,C0197,Solomons,"Solomon Islands is a sovereign state in Oceania, east of Papua New Guinea. Consisting of nearly one thousand islands, the Solomons cover a land area of roughly 11,000 square miles. Most inhabitants of the Solomons are ethnically Melanesian. Ethnologue details 70 living languages spoken in the Solomon Islands, most spoken by people groups numbering less than 10,000 in population. These groups are predominantly Christian with the Anglican Church of Melanesia, Roman Catholics, South Seas Evangelical Church, and United Church in Papua New Guinea and the Solomon Islands all active among them.",None,Patrick Johnstone,None,A010,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
227,C0199,Songhai,"The Songhai are west Africans who speak one of eight Songhai languages. The Songhai Empire dominated the western Sahel in the 15th and 16th centuries. The Sahel is a geographic zone of transition between the Sahara desert in the North and the Sudanian Savannas in the South. The Sahel stretches across the entire African continent. The Western Sahel crosses portions of Algeria, Benin, Burkina Faso, Ghana, Mali, Niger, Nigeria, and Togo. Sunni Islam is the primary religion among these Songhai people groups.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
228,C0200,Soninke,The Soninke are a Mande people who descended from the Bafour of Mauritania and are closely related to the Imraguen of Mauritania. Ethnologue classifies five Mande languages as Soninke-Boso. The people groups that speak these five languages comprise the Soninke people cluster.,None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2015-05-04T00:00:00+00:00,1
229,C0201,South American Indigenous,"The South American Indigenous people cluster encompasses indigenous peoples of South America who are not classified within other people clusters, notably the Amazon, Aymara, Guarani, and Quechua clusters. More indigenous peoples of South America are assigned to this people cluster than to those four clusters combined and more than two hundred distinct languages are spoken by these people groups.",None,Patrick Johnstone,None,A007,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
230,C0202,Spanish,"Spanish refers to people native to any part of Spain. Within Spain there are various regional populations including the Aragonese, Asturians, Canarians, Catalonians, Extremadurans, Galicians, and Valencians in addition to the majority group identified simply as Spaniards. The Spanish people cluster encompasses all of Spain's regional ethnic groups along with the Gibraltarians of Gibraltar, a British overseas territory located on the southern tip of Andalusia, Spain.",None,Patrick Johnstone,None,A003,2003-10-30T00:00:00+00:00,2012-09-12T00:00:00+00:00,1
231,C0203,Sudanic,"The Sudan refers to a geographic region to the south of the Sahara, that stretches across the whole of Africa. The name derives from an Arabic term meaning ""land of the Blacks"". Within the Sudan reside a variety of ethnolinguistic peoples. Central Sudanic is a family of Nilo-Saharan languages spoken in the Central African Republic, Chad, South Sudan, Sudan, Uganda, Congo (DRC), and Cameroon. Ethnologue classifies 65 languages as Central Sudanic. The Sudanic people cluster encompasses most of the people groups of the Sudan that speak a Central Sudanic language. Roman Catholicism is widely practiced among these people groups.",None,Patrick Johnstone,None,A013,2003-10-30T00:00:00+00:00,2012-09-13T00:00:00+00:00,1
232,C0207,Tai,Tai peoples are culturally and genetically similar and are primarily identified through their language. The Tai-Kadai languages are a family of highly tonal languages spoken in southern China and Southeast Asia. The Tai people cluster encompasses ethnolinguistic groups from two branches of the Tai-Kadai language family: Kadai and Kam-Tai.,None,Patrick Johnstone,None,A011,2003-10-30T00:00:00+00:00,2022-05-23T00:00:00+00:00,1
233,C0213,Tamil,"The Tamil people are an ethnic group native to Tamil Nadu, India and the northeastern region of Sri Lanka. Historical evidence of the Tamil dates to as early as 1500 BC. Tamil is a major Dravidian language of India, spoken primarily by the Tamil in India and Sri Lanka. The Tamil people cluster encompasses numerous occupational castes that share the Tamil language. Most Tamil are Hindus, but a few Tamil subgroups follow either Christianity or Islam.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-30T00:00:00+00:00,1
234,C0214,Telugu,"The Telugu are a Dravidian ethnic group of India, native to the state of Andhra Pradesh but with significant presence in other neighboring states. They speak the Telugu language, the third most commonly spoken language in India after Hindi and Bengali. The Telugu people cluster encompasses numerous occupational castes that share the Telugu language. Most Telugu are Hindus, but a few Telugu subgroups follow either Christianity or Islam.",None,Patrick Johnstone,None,A012,2003-10-30T00:00:00+00:00,2021-06-30T00:00:00+00:00,1
